ID	Changed	Total_AP	Changes	Original	Generated
BASIC5000_0026	5	7	平板→]@3(aku]rya) | ]@0(i]fu)→]@2(ifu]ku) | ]@12(uru]ga)=同じ | ]@1(shi]Nj)→]@4(Nji]tsu) | 平板→]@5(aka]de) | ]@0(a]ru)→]@2(aru]ko) | ]@3(ono]mu)=同じ	^-s-a-[-k-u-ry-a-k-u-w-a-#-i-]-f-u-k-u-o-#-h-i-[-ts-u-y-o-o-t-o-s-u-r-u-]-g-a-_-sh-i-]-N-j-i-ts-u-w-a-#-h-a-[-d-a-k-a-d-e-#-a-]-r-u-k-o-t-o-o-#-k-o-[-n-o-]-m-u-$	^-s-a-[-k-u-]-ry-a-k-u-w-a-#-i-[-f-u-]-k-u-o-#-h-i-[-ts-u-y-o-o-t-o-s-u-r-u-]-g-a-_-sh-i-[-N-j-i-]-ts-u-w-a-#-h-a-[-d-a-k-a-]-d-e-#-a-[-r-u-]-k-o-t-o-o-#-k-o-[-n-o-]-m-u-$
BASIC5000_0027	2	5	]@1(ko]i)=同じ | ]@4(ohi]iy)=同じ | 平板→]@2(usu]i) | ]@4(ohi]in)→]@9(oho]og) | ]@3(uki]de)=同じ	^-k-o-]-i-#-k-o-[-o-h-i-]-i-y-o-r-i-_-u-[-s-u-i-#-k-o-[-o-h-i-]-i-n-o-h-o-o-g-a-#-s-u-[-k-i-]-d-e-s-u-$	^-k-o-]-i-#-k-o-[-o-h-i-]-i-y-o-r-i-_-u-[-s-u-]-i-#-k-o-[-o-h-i-i-n-o-h-o-]-o-g-a-#-s-u-[-k-i-]-d-e-s-u-$
BASIC5000_0028	4	4	]@4(iko]ok)→]@2(gai]ko) | ]@3(ama]za)→]@7(ama]na) | 平板→]@4(clke]Ng) | 平板→]@7(are]te)	^-g-a-[-i-k-o-]-o-k-a-N-n-i-w-a-_-s-a-[-m-a-]-z-a-m-a-n-a-#-t-o-[-cl-k-e-N-g-a-#-a-[-t-a-e-r-a-r-e-t-e-i-r-u-$	^-g-a-[-i-]-k-o-o-k-a-N-n-i-w-a-_-s-a-[-m-a-z-a-m-a-]-n-a-#-t-o-[-cl-k-e-]-N-g-a-#-a-[-t-a-e-r-a-r-e-]-t-e-i-r-u-$
BASIC5000_0029	6	7	]@5(iki]zu)→]@3(ashi]ki) | 平板→]@3(ote]mo) | ]@3(uka]ku)=同じ | ]@12(ore]ga)→]@4(Nse]Nn) | ]@1(na]ik)→]@2(nai]ka) | ]@1(ke]Ns)→]@4(Nsa]su) | ]@9(gaa]ru)→]@5(uyo]og)	^-s-a-[-sh-i-k-i-]-z-u-w-a-#-t-o-[-t-e-m-o-#-f-u-[-k-a-]-k-u-_-k-a-[-N-s-e-N-n-o-o-s-o-r-e-]-g-a-#-n-a-]-i-k-a-#-k-e-]-N-s-a-s-u-r-u-#-h-i-[-ts-u-y-o-o-g-a-a-]-r-u-$	^-s-a-[-sh-i-]-k-i-z-u-w-a-#-t-o-[-t-e-]-m-o-#-f-u-[-k-a-]-k-u-_-k-a-[-N-s-e-]-N-n-o-o-s-o-r-e-g-a-#-n-a-[-i-]-k-a-#-k-e-[-N-s-a-]-s-u-r-u-#-h-i-[-ts-u-y-o-]-o-g-a-a-r-u-$
BASIC5000_0030	3	4	平板→]@4(iji]Ng) | 平板→]@3(iho]Nsh) | ]@3(are]ru)=同じ | ]@7(ashi]i)→]@3(uzu]ka)	^-g-a-[-i-j-i-N-g-a-#-n-i-[-h-o-N-sh-o-k-u-n-i-#-n-a-[-r-e-]-r-u-k-o-t-o-w-a-#-m-u-[-z-u-k-a-sh-i-]-i-$	^-g-a-[-i-j-i-]-N-g-a-#-n-i-[-h-o-]-N-sh-o-k-u-n-i-#-n-a-[-r-e-]-r-u-k-o-t-o-w-a-#-m-u-[-z-u-]-k-a-sh-i-i-$
BASIC5000_0031	5	8	平板=同じ | ]@3(uru]i)=同じ | ]@0(i]mi)→]@2(imi]ga) | ]@1(ge]Nz)→]@4(Nza]in) | 平板→]@3(iho]Nt) | ]@0(i]mi)→]@2(imi]de) | ]@4(uto]wa)=同じ | ]@5(ira]na)→]@7(ana]i)	^-g-o-[-n-o-#-f-u-[-r-u-]-i-#-i-]-m-i-g-a-_-g-e-]-N-z-a-i-n-o-#-k-i-[-h-o-N-t-e-k-i-n-a-#-i-]-m-i-d-e-#-a-[-r-u-t-o-]-w-a-#-k-a-[-g-i-r-a-]-n-a-i-$	^-g-o-[-n-o-#-f-u-[-r-u-]-i-#-i-[-m-i-]-g-a-_-g-e-[-N-z-a-]-i-n-o-#-k-i-[-h-o-]-N-t-e-k-i-n-a-#-i-[-m-i-]-d-e-#-a-[-r-u-t-o-]-w-a-#-k-a-[-g-i-r-a-n-a-]-i-$
BASIC5000_0032	3	4	平板→]@5(iga]ne) | ]@1(de]Nk)→]@4(Nki]o) | ]@6(eru]no)=同じ | ]@8(are]ru)→]@3(ochi]ir)	^-h-a-[-r-i-g-a-n-e-w-a-_-d-e-]-N-k-i-o-#-ts-u-[-t-a-e-r-u-]-n-o-n-i-#-m-o-[-ch-i-i-r-a-r-e-]-r-u-$	^-h-a-[-r-i-g-a-]-n-e-w-a-_-d-e-[-N-k-i-]-o-#-ts-u-[-t-a-e-r-u-]-n-o-n-i-#-m-o-[-ch-i-]-i-r-a-r-e-r-u-$
BASIC5000_0033	3	4	]@1(ra]ig)→]@2(rai]ge) | 平板→]@5(uki]za) | ]@5(imo]no)=同じ | ]@1(na]Nd)→]@6(esu]ka)	^-r-a-]-i-g-e-ts-u-n-o-#-k-a-[-b-u-k-i-z-a-n-o-#-d-a-[-sh-i-m-o-]-n-o-w-a-#-n-a-]-N-d-e-s-u-k-a-?-$	^-r-a-[-i-]-g-e-ts-u-n-o-#-k-a-[-b-u-k-i-]-z-a-n-o-#-d-a-[-sh-i-m-o-]-n-o-w-a-#-n-a-[-N-d-e-s-u-]-k-a-?-$
BASIC5000_0034	4	4	]@11(afa]ir)→]@14(iru]o) | 平板→]@4(Npu]de) | 平板→]@2(oku]clt) | ]@5(asa]i)→]@3(uda]sa)	^-a-[-cl-sh-u-k-u-sh-i-t-a-f-a-]-i-r-u-o-#-t-e-[-N-p-u-d-e-#-o-[-k-u-cl-t-e-#-k-u-[-d-a-s-a-]-i-$	^-a-[-cl-sh-u-k-u-sh-i-t-a-f-a-i-r-u-]-o-#-t-e-[-N-p-u-]-d-e-#-o-[-k-u-]-cl-t-e-#-k-u-[-d-a-]-s-a-i-$
BASIC5000_0035	12	14	]@1(yo]osh)→]@4(oshi]ta) | ]@1(zu]no)→]@3(uno]o) | 平板→]@4(ise]ki) | ]@6(oshi]Nk)→]@9(Nke]e) | 平板→]@3(atsu]gu) | ]@1(ie]wa)=同じ | ]@5(emo]chi)→]@3(ane]mo) | 平板→]@2(tsui]de) | 平板→]@3(aku]se) | ]@5(uka]ich)→]@3(uku]ka) | ]@3(ite]ta)→]@7(ari]mo) | ]@2(iwa]yu)→]@4(ayu]ru) | ]@1(pa]af)→]@6(eku]to) | ]@3(atsu]da)=同じ	^-y-o-]-o-sh-i-t-a-N-r-e-i-_-z-u-]-n-o-o-#-m-e-[-i-s-e-k-i-_-u-[-N-d-o-o-sh-i-]-N-k-e-e-#-b-a-[-ts-u-g-u-N-_-i-[-e-]-w-a-#-k-a-[-n-e-m-o-]-ch-i-d-e-_-ts-u-[-i-d-e-n-i-#-g-a-[-k-u-s-e-e-k-a-i-n-o-#-f-u-[-k-u-k-a-]-i-ch-o-o-o-#-sh-i-[-t-e-]-t-a-r-i-m-o-s-u-r-u-_-i-[-w-a-]-y-u-r-u-_-p-a-]-a-f-e-k-u-t-o-n-a-#-y-a-[-ts-u-]-d-a-$	^-y-o-[-o-sh-i-]-t-a-N-r-e-i-_-z-u-[-n-o-]-o-#-m-e-[-i-s-e-]-k-i-_-u-[-N-d-o-o-sh-i-N-k-e-]-e-#-b-a-[-ts-u-]-g-u-N-_-i-[-e-]-w-a-#-k-a-[-n-e-]-m-o-ch-i-d-e-_-ts-u-[-i-]-d-e-n-i-#-g-a-[-k-u-]-s-e-e-k-a-i-n-o-#-f-u-[-k-u-]-k-a-i-ch-o-o-o-#-sh-i-[-t-e-t-a-r-i-]-m-o-s-u-r-u-_-i-[-w-a-y-u-]-r-u-_-p-a-[-a-f-e-k-u-]-t-o-n-a-#-y-a-[-ts-u-]-d-a-$
BASIC5000_0036	5	5	]@6(Nka]Nj)→]@9(Nja]wa) | 平板→]@2(isha]ni) | 平板→]@4(sui]och) | ]@1(su]gu)→]@3(ugu]ni) | ]@8(nio]chi)→]@10(ochi]ta)	^-ny-u-[-u-i-N-k-a-]-N-j-a-w-a-_-i-[-sh-a-n-i-#-m-a-[-s-u-i-o-ch-u-u-sh-a-s-a-r-e-t-e-_-s-u-]-g-u-n-i-#-n-e-[-m-u-r-i-n-i-o-]-ch-i-t-a-$	^-ny-u-[-u-i-N-k-a-N-j-a-]-w-a-_-i-[-sh-a-]-n-i-#-m-a-[-s-u-i-]-o-ch-u-u-sh-a-s-a-r-e-t-e-_-s-u-[-g-u-]-n-i-#-n-e-[-m-u-r-i-n-i-o-ch-i-]-t-a-$
BASIC5000_0037	8	9	]@9(achi]mo)→]@15(uto]yu) | ]@5(oba]ga)→]@3(oto]ba) | ]@0(a]ru)→]@2(aru]yo) | 平板→]@2(ichi]do) | 平板→]@4(oka]ik) | ]@3(ana]re)→]@5(are]te) | ]@6(Nsa]clk)→]@3(iho]Ns) | ]@1(mi]te)=同じ | ]@8(ita]i)→]@4(ada]ki)	^-h-a-[-t-a-m-e-h-a-ch-i-]-m-o-k-u-t-o-y-u-u-#-k-o-[-t-o-b-a-]-g-a-#-a-]-r-u-y-o-o-n-i-_-i-[-ch-i-d-o-#-ky-o-[-o-k-a-i-k-a-r-a-#-h-a-[-n-a-]-r-e-t-e-_-n-i-[-h-o-N-s-a-]-cl-k-a-a-o-#-m-i-]-t-e-#-i-[-t-a-d-a-k-i-t-a-]-i-$	^-h-a-[-t-a-m-e-h-a-ch-i-m-o-k-u-t-o-]-y-u-u-#-k-o-[-t-o-]-b-a-g-a-#-a-[-r-u-]-y-o-o-n-i-_-i-[-ch-i-]-d-o-#-ky-o-[-o-k-a-]-i-k-a-r-a-#-h-a-[-n-a-r-e-]-t-e-_-n-i-[-h-o-]-N-s-a-cl-k-a-a-o-#-m-i-]-t-e-#-i-[-t-a-d-a-]-k-i-t-a-i-$
